,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Country,City,USD_price
1,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,75,Germany , BÃ¶nningstedt,3699.4
4,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,58,Germany , Bayern ,3602.94
10,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,239,Switzerland , Seengen,3780.0000000000005
12,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,69,Italy , Lake Garda ,3710.0
13,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,113,Switzerland , Zugersee ,4968.0
14,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,413,Switzerland , VierwaldstÃ¤ttersee ,4860.0
18,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,265,France ," MARTGUES, MARTIGUES",4240.0
20,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,69,Germany , Bayern ,4238.9400000000005
22,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,90,Germany , Nordrhein-Westfalen ,4165.8
23,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,98,Germany ," BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK",4134.0
25,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,160,Switzerland , Diessenhofen,4536.0
27,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,130,Switzerland , VierwaldstÃ¤ttersee ,4352.400000000001
29,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,512,Switzerland , Horgen,4293.0
30,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,202,Switzerland , Lake of Zurich ,4266.0
34,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,255,Switzerland , Luganersee ,4104.0
35,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,1804,Switzerland , Walensee ,4104.0
36,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,849,Switzerland , Sihlsee ,4104.0
38,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,133,Germany , Verkaufshafen Brandenburg-Plaue,3710.0
43,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,186,Germany , Berlin ,5830.0
44,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,118,Spain ," Cabo de Palos, Espagne",5830.0
45,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,74,Italy , emilia,5830.0
46,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,543,Switzerland , Faoug ,6372.0
49,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,67,Germany , Bayern ,5722.9400000000005
53,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,141,Germany , Erftstadt,5512.0
54,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,278,Switzerland , Neuenburgersee ,5940.0
55,Runabout,Kimple power boats,new boat from stock,2020,4.0,1.65,Aluminium,99,Switzerland , Zugersee ,5940.0
57,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,1201,Switzerland , Lake of Zurich ,7776.000000000001
59,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,277,Germany , Nordrhein-Westfalen ,6985.400000000001
60,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,85,Italy , Venezia,6890.0
61,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,122,Germany , Berlin ,6890.0
62,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5.0,2.15,GRP,183,Italy , 41100,6890.0
63,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8.0,2.1,GRP,289,Germany , Berlin ,6890.0
64,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,324,Austria , Werfenweng,6890.0
66,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,126,Germany , Verkaufshafen Brandenburg-Plaue,6879.400000000001
67,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,238,Switzerland , Murtensee ,7560.000000000001
68,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,866,Switzerland , Lake Geneva ,7560.000000000001
69,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,574,Switzerland , Neuenburgersee ,7560.000000000001
71,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,205,Switzerland , Lake Constance ,8964.0
74,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,200,Germany , BUDENHEIM/RHEIN,8098.400000000001
75,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,462,Switzerland , Horgen,8807.400000000001
76,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,201,Germany , Landshut,7950.0
80,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,208,France ," Saint-Quay-Portrieux, France",7950.0
81,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,189,France , CÃ´te d'Azur ,7950.0
82,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,131,France ," Saint Quay Portrieux, France",7950.0
